BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PSJ	7 a 12x	TPV	58.093.424,33	62.194.873,66	64.477.933,86	63.770.560,58	78.015.239,15	70.179.827,21	78.799.603,50	76.637.351,91	77.834.366,34	78.719.929,58	61.712.806,03	56.566.185,66	200187030	193949759	210600040	210494264	225821297	220552031	228797802	226972974	220647243	221412776	226554996	236891176
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	52.290,35	0	100	0	381512	2608483	2798419	2733121	2835304	2812691	2734301	2743788	2807511	2935599
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PNF	1x	TPV	352	242	265	3.372,00	1.467,33	1.963,03	2.313,00	1.206,97	6.535,00	1.811,90	229	40	2235	10146	21729	13250	14215	13884	14403	14288	13889	13938	14261	14912
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PNF	2 a 6x	TPV	1.150,00	2.461,90	9.034,00	1.963,00	3.839,00	6.209,90	9.414,50	2.220,00	2.030,00	5.123,20	1.482,80	330	3816	1955	44520	15176	16281	15901	16495	16364	15908	15963	16334	17079
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PNF	7 a 12x	TPV	0	0	0	0	600	0	0	0	0	0	0	0	1500	0	0	731	784	765	794	788	766	768	786	822
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	LEGADO	-	TTP	TTP	account_money	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	LEGADO	-	TTP	TTP	bank_transfer	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	LEGADO	-	TTP	TTP	ticket	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	LEGADO	-	TTP	TTP	others	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105252	114855	113540	118554	117608	114334	114727	117388	122762
